title,start_date,end_date,status,dropped_episode,other
デカダンス,20/10/7,20/10/12,complete,,
劇場版　魔法少女まどか☆マギカ　新編　叛逆の物語,20/10/10,20/10/10,complete,,
四月は君の嘘,20/10/12,10/10/19,complete,,
がっこうぐらし！,20/10/12,20/10/18,complete,,
とある科学の超電磁砲,20/10/18,20/10/29,complete,,
ノーゲームノーライフ　ゼロ,20/10/20,20/10/21,complete,,
ぼくだけがいない街,20/10/21,20/10/26,complete,,
フルーツバスケット 1st season,20/10/27,,drop,18
とある科学の超電磁砲 ova,20/10/30,20/10/30,complete,,
グリザイアの果実,20/10/30,20/11/5,complete,,
結城友奈は勇者である,20/11/3,20/11/8,complete,,
グリザイアの迷宮,20/11/5,20/11/5,complete,,
グリザイアの楽園,20/11/6,20/11/10,complete,,
ダンジョンに出会いを求めるのは間違っているだろうかII OVA,20/11/7,20/11/7,complete,,
あそびあそばせ,20/11/09,20/11/13,complete,,
羅小黒戦記,20/11/9,20/11/9,complete,,
放課後ていぼう日誌,20/11/11,20/11/17,complete,,
デート・ア・バレット　ナイトメア・オア・クイーン,20/11/13,20/11/13,complete,,
炎々ノ消防隊,20/11/15,20/12/03,complete,,
けいおん！,20/11/17,20/11/19,complete,,
けいおん！番外編「冬の日！」,20/11/20,20/11/20,complete,,
けいおん！番外編「ライブハウス！」,20/11/20,20/11/20,complete,,
けいおん!!,20/11/20,20/11/26,complete,,
けいおん!! 番外編「企画会議！」,20/11/27,20/11/27,complete,,
けいおん!! 番外編「訪問！」,20/11/28,20/11/28,complete,,
けいおん!! 番外編「計画！」,20/11/29,20/11/29,complete,,
映画「けいおん！」,20/11/29,20/11/29,complete,,
神様になった日,20/11/29,20/12/29,complete,,
安達としまむら,20/11/30,20/12/2,drop,2
無能なナナ,20/12/1,20/12/27,complete,,
炎々の消防隊　弐之章,20/12/04,20/12/19,complete,,
進撃の巨人 final season,20/12/06,20/3/28,complete,,
魔女の旅々,20/12/07,20/12/24,complete,,
魔王城でおやすみ,20/12/15,,drop,2
体操ザムライ,20/12/19,,drop,1
キミと僕の最後の戦場、あるいは世界が始まる聖戦,20/12/19,,drop,6
憂国のモリアーティ,20/12/28,,suspend,1
彼方のアストラ,20/12/20,20/12/30,complete,,
CLANNAD,20/12/23,21/1/5,complete,,
ハクメイとミコチ,20/12/30,21/1/5,drop,9
